adjective,severity,category
harapiento,high,moral
zarrapastroso,high,moral
desgarbado,high,moral
torpe,high,moral
patoso,high,moral
zafio,high,moral
desmaña,high,moral
torpón,high,moral
maña,high,moral
intriga,high,moral
enredo,high,moral
trama,high,moral
conspiración,high,moral
sedición,high,moral
motín,high,moral
revuelta,high,moral
rebelión,high,moral
insurrección,high,moral
levantamiento,high,moral
alzamiento,high,moral
sublevación,high,moral
amotinamiento,high,moral
levantada,high,moral
rebelía,high,moral
desobediencia,high,moral
insubordinación,high,moral
indisciplina,high,moral
libertinaje,high,moral
desenfreno,high,moral
desorden,high,moral
anarquía,high,moral
caos,high,moral
desvarío,high,moral
delirio,high,moral
locura,high,moral
demencia,high,moral
insania,high,moral
psicopatía,high,moral
sociopatía,high,moral
desquiciamiento,high,moral
perturbación,high,moral
trastorno,high,moral
neurosis,high,moral
paranoia,high,moral
esquizofrenia,high,moral
cleptomania,high,moral
piromanía,high,moral
megalomanía,high,moral
narcisismo,high,moral
egoísmo,high,moral
egocentrismo,high,moral
egolatría,high,moral
egotismo,high,moral
presunción,high,moral
soberbia,high,moral
arrogancia,high,moral
altanería,high,moral
engreimiento,high,moral
petulancia,high,moral
suficiencia,high,moral
autosuficiencia,high,moral
fatuidad,high,moral
vanidad,high,moral
jactancia,high,moral
alarde,high,moral
ostentación,high,moral
boato,high,moral
pomposidad,high,moral
grandilocuencia,high,moral
ampulosidad,high,moral
hinchazón,high,moral
turgencia,high,moral
tumefacción,high,moral
distensión,high,moral
extensión,high,moral
dilatación,high,moral
expansión,high,moral
propagación,high,moral
difusión,high,moral
diseminación,high,moral
esparcimiento,high,moral
siembra,high,moral
labranza,high,moral
cultivo,high,moral
agricultura,high,moral
labrantío,high,moral
tierras,high,moral
campos,high,moral
aradura,high,moral
surco,high,moral
barbecho,high,moral
estiércol,high,moral
abono,high,moral
fertilizante,high,moral
nutriente,high,moral
alimento,high,moral
sustancia,high,moral
materia,high,moral
cuerpo,high,moral
masa,high,moral
volumen,high,moral
extensión,high,moral
superficie,high,moral
área,high,moral
espacio,high,moral
capacidad,high,moral
cabida,high,moral
contención,high,moral
límite,high,moral
frontera,high,moral
término,high,moral
confín,high,moral
extremo,high,moral
fin,high,moral
conclusión,high,moral
desenlace,high,moral
epílogo,high,moral
remate,high,moral
término,high,moral
finiquito,high,moral
liquidación,high,moral
saldo,high,moral
residuo,high,moral
resto,high,moral
sobrante,high,moral
exceso,high,moral
abundancia,high,moral
profusión,high,moral
copia,high,moral
riqueza,high,moral
opulencia,high,moral
lujo,high,moral
fastuosidad,high,moral
suntuosidad,high,moral
esplendidez,high,moral
magnificencia,high,moral
esplendor,high,moral
gloria,high,moral
apoteosis,high,moral
culminación,high,moral
plenitud,high,moral
plenario,high,moral
completitud,high,moral
integridad,high,moral
totalidad,high,moral
universalidad,high,moral
generalidad,high,moral
mayoría,high,moral
pluralidad,high,moral
multiplicidad,high,moral
variedad,high,moral
diversidad,high,moral
heterogeneidad,high,moral
diferencia,high,moral
distinción,high,moral
disparidad,high,moral
desigualdad,high,moral
discrepancia,high,moral
disonancia,high,moral
discordancia,high,moral
antagonismo,high,moral
oposición,high,moral
contraste,high,moral
antítesis,high,moral
contraposición,high,moral
confrontación,high,moral
enfrentamiento,high,moral
choque,high,moral
colisión,high,moral
impacto,high,moral
golpe,high,moral
puñetazo,high,moral
bofetada,high,moral
cachetada,high,moral
tortazo,high,moral
estacazo,high,moral
garrotazo,high,moral
garrote,high,moral
cachiporra,high,moral
maza,high,moral
martillo,high,moral
hacha,high,moral
hachar,high,moral
tajo,high,moral
corte,high,moral
cuchillada,high,moral
puñalada,high,moral
estocada,high,moral
estoque,high,moral
florete,high,moral
sable,high,moral
espada,high,moral
lanza,high,moral
jabalina,high,moral
pica,high,moral
alabarda,high,moral
hallebarda,high,moral
partesana,high,moral
guadaña,high,moral
hoz,high,moral
podadera,high,moral
tijera,high,moral
navaja,high,moral
cuchillo,high,moral
facón,high,moral
machete,high,moral
bowie,high,moral
damasquina,high,moral
alfanje,high,moral
cimitarra,high,moral
yatagán,high,moral
scimitarra,high,moral
talismán,high,moral
amuleto,high,moral
fetiche,high,moral
ídolo,high,moral
objeto,high,moral
cosa,high,moral
utensilio,high,moral
herramienta,high,moral
instrumento,high,moral
aparato,high,moral
mecanismo,high,moral
dispositivo,high,moral
máquina,high,moral
autómata,high,moral
robot,high,moral
androide,high,moral
muñeco,high,moral
títere,high,moral
marioneta,high,moral
fantoche,high,moral
pelele,high,moral
monigote,high,moral
dibujo,high,moral
figura,high,moral
forma,high,moral
silueta,high,moral
perfil,high,moral
contorno,high,moral
delineación,high,moral
contorneador,high,moral
línea,high,moral
raya,high,moral
trazo,high,moral
rasgo,high,moral
signo,high,moral
marca,high,moral
seña,high,moral
símbolo,high,moral
emblema,high,moral
insignia,high,moral
distintivo,high,moral
bandera,high,moral
estandarte,high,moral
pendón,high,moral
oriflama,high,moral
enseña,high,moral
gonfalón,high,moral
lábaro,high,moral
tafetán,high,moral
seda,high,moral
damasco,high,moral
raso,high,moral
terciopelo,high,moral
felpa,high,moral
peluche,high,moral
felpudo,high,moral
tapete,high,moral
alfombra,high,moral
tapiz,high,moral
colgadura,high,moral
cortina,high,moral
dosel,high,moral
palio,high,moral
baldaquín,high,moral
pabellón,high,moral
toldo,high,moral
tendejón,high,moral
caseta,high,moral
barraca,high,moral
chabola,high,moral
choza,high,moral
cabaña,high,moral
refugio,high,moral
albergue,high,moral
hospedería,high,moral
posada,high,moral
fonda,high,moral
mesón,high,moral
venta,high,moral
taberna,high,moral
cantina,high,moral
bar,high,moral
discoteca,high,moral
sala,high,moral
salón,high,moral
aposento,high,moral
cuarto,high,moral
habitación,high,moral
dormitorio,high,moral
alcoba,high,moral
recámara,high,moral
cuarto de dormir,high,moral
camastro,high,moral
lecho,high,moral
cama,high,moral
catre,high,moral
colchón,high,moral
almohada,high,moral
funda,high,moral
sábana,high,moral
manta,high,moral
cobertor,high,moral
edredón,high,moral
acolchado,high,moral
almohadilla,high,moral
cojín,high,moral
almohadón,high,moral
apoyacabeza,high,moral
cabecero,high,moral
cabecera,high,moral
respaldo,high,moral
asiento,high,moral
silla,high,moral
silleta,high,moral
sillilla,high,moral
silleta,high,moral
butaca,high,moral
poltrona,high,moral
sofá,high,moral
canapé,high,moral
diván,high,moral
otomana,high,moral
banqueta,high,moral
escabel,high,moral
reposapiés,high,moral
estrado,high,moral
podio,high,moral
tarima,high,moral
tablado,high,moral
andamio,high,moral
estructura,high,moral
soporte,high,moral
bastidor,high,moral
marco,high,moral
armazón,high,moral
esqueleto,high,moral
osamenta,high,moral
osario,high,moral
columbario,high,moral
mausoleo,high,moral
sepulcro,high,moral
tumba,high,moral
féretro,high,moral
ataúd,high,moral
atahona,high,moral
molino,high,moral
trituradora,high,moral
molienda,high,moral
molimiento,high,moral
pulverización,high,moral
desmenuzamiento,high,moral
fragmentación,high,moral
parcelación,high,moral
distribución,high,moral
repartición,high,moral
asignación,high,moral
dotación,high,moral
provisión,high,moral
suministro,high,moral
abastecimiento,high,moral
aprovisionamiento,high,moral
forraje,high,moral
pienso,high,moral
comida,high,moral
alimento,high,moral
vianda,high,moral
manjar,high,moral
plato,high,moral
guiso,high,moral
potaje,high,moral
caldo,high,moral
consomé,high,moral
sopa,high,moral
puré,high,moral
crema,high,moral
papilla,high,moral
gachas,high,moral
polenta,high,moral
risotto,high,moral
paella,high,moral
arroz,high,moral
grano,high,moral
semilla,high,moral
cereal,high,moral
legumbre,high,moral
verdura,high,moral
hortaliza,high,moral
vegetal,high,moral
planta,high,moral
hierba,high,moral
maleza,high,moral
espesura,high,moral
maleza,high,moral
matorral,high,moral
arbusto,high,moral
mata,high,moral
tallo,high,moral
rama,high,moral
ramaje,high,moral
ramificación,high,moral
división,high,moral
subdivisión,high,moral
ramada,high,moral
enramada,high,moral
emparrado,high,moral
pérgola,high,moral
glorieta,high,moral
templete,high,moral
pabellón,high,moral
kiosco,high,moral
quiosco,high,moral
tenderete,high,moral
puesto,high,moral
caseta,high,moral
garita,high,moral
cabina,high,moral
camarote,high,moral
compartimiento,high,moral
división,high,moral
departamento,high,moral
oficina,high,moral
despacho,high,moral
estudio,high,moral
laboratorio,high,moral
taller,high,moral
factoría,high,moral
fábrica,high,moral
manufactura,high,moral
industria,high,moral
comercio,high,moral
negocio,high,moral
empresa,high,moral
establecimiento,high,moral
institución,high,moral
organización,high,moral
entidad,high,moral
asociación,high,moral
sociedad,high,moral
comunidad,high,moral
congregación,high,moral
junta,high,moral
asamblea,high,moral
concejo,high,moral
ayuntamiento,high,moral
municipalidad,high,moral
administración,high,moral
gobierno,high,moral
estado,high,moral
reino,high,moral
imperio,high,moral
república,high,moral
democracia,high,moral
monarquía,high,moral
oligarquía,high,moral
tiranía,high,moral
dictadura,high,moral
despotismo,high,moral
absolutismo,high,moral
totalitarismo,high,moral
fascismo,high,moral
nazismo,high,moral
comunismo,high,moral
socialismo,high,moral
capitalismo,high,moral
liberalismo,high,moral
conservadurismo,high,moral
tradicionalismo,high,moral
progresismo,high,moral
radicalismo,high,moral
extremismo,high,moral
fundamentalismo,high,moral
integrismo,high,moral
tradicionalismo,high,moral
arcaísmo,high,moral
antigüedad,high,moral
vetustez,high,moral
antigüalla,high,moral
obsolescencia,high,moral
desuetud,high,moral
desuso,high,moral
abandono,high,moral
negligencia,high,moral
incuria,high,moral
desidia,high,moral
pereza,high,moral
indolencia,high,moral
apatía,high,moral
abulia,high,moral
desgana,high,moral
falta de ánimo,high,moral
melancolía,high,moral
tristeza,high,moral
pesadumbre,high,moral
congoja,high,moral
angustia,high,moral
ansiedad,high,moral
inquietud,high,moral
preocupación,high,moral
temor,high,moral
miedo,high,moral
pavor,high,moral
pánico,high,moral
terror,high,moral
espanto,high,moral
horror,high,moral
aterrador,high,moral
horroroso,high,moral
espantoso,high,moral
terrorífico,high,moral
pavoroso,high,moral
formidable,high,moral
tremendo,high,moral
prodigioso,high,moral
portentoso,high,moral
maravilloso,high,moral
asombroso,high,moral
sorprendente,high,moral
inesperado,high,moral
imprevisto,high,moral
intempestivo,high,moral
inoportuno,high,moral
extemporáneo,high,moral
anacrónico,high,moral
destiempo,high,moral
contratiempo,high,moral
inconveniente,high,moral
problema,high,moral
dificultad,high,moral
obstáculo,high,moral
impedimento,high,moral
traba,high,moral
entorpecimiento,high,moral
trabazón,high,moral
conexión,high,moral
vínculo,high,moral
ligadura,high,moral
atadura,high,moral
nudo,high,moral
lazo,high,moral
cuerda,high,moral
soga,high,moral
cordel,high,moral
bramante,high,moral
hilo,high,moral
trama,high,moral
tejido,high,moral
lienzo,high,moral
tela,high,moral
paño,high,moral
trapo,high,moral
harapo,high,moral
jirón,high,moral
andrajo,high,moral
girones,high,moral
desgarradura,high,moral
rotura,high,moral
ruptura,high,moral
quiebra,high,moral
grieta,high,moral
fractura,high,moral
raja,high,moral
hendidura,high,moral
abertura,high,moral
brecha,high,moral
paso,high,moral
entrada,high,moral
acceso,high,moral
pórtico,high,moral
portal,high,moral
zaguán,high,moral
vestíbulo,high,moral
antesala,high,moral
foyer,high,moral
hall,high,moral
corredor,high,moral
pasillo,high,moral
galería,high,moral
claustro,high,moral
peristilo,high,moral
columnata,high,moral
arquería,high,moral
arcada,high,moral
arco,high,moral
bóveda,high,moral
cripta,high,moral
sotano,high,moral
bodega,high,moral
bodegas,high,moral
sótano,high,moral
desván,high,moral
ático,high,moral
entrecubierta,high,moral
entrepuente,high,moral
puente,high,moral
pasarela,high,moral
viaducto,high,moral
acueducto,high,moral
conducto,high,moral
tubería,high,moral
cañería,high,moral
tubo,high,moral
cilindro,high,moral
rodillo,high,moral
tambor,high,moral
barril,high,moral
tonel,high,moral
tinaja,high,moral
ánfora,high,moral
jarra,high,moral
cántaro,high,moral
bote,high,moral
frasco,high,moral
botella,high,moral
garrafón,high,moral
damajagua,high,moral
pellejo,high,moral
odre,high,moral
vejiga,high,moral
bolsa,high,moral
talego,high,moral
saco,high,moral
costal,high,moral
bulto,high,moral
fardo,high,moral
paquete,high,moral
envoltorio,high,moral
embalaje,high,moral
caja,high,moral
arcón,high,moral
baúl,high,moral
cofre,high,moral
arca,high,moral
alacena,high,moral
despensa,high,moral
armario,high,moral
aparador,high,moral
consola,high,moral
escritorio,high,moral
secreter,high,moral
bufete,high,moral
mostrador,high,moral
mesilla,high,moral
velador,high,moral
tabla,high,moral
tablero,high,moral
plancha,high,moral
losa,high,moral
baldosa,high,moral
azulejo,high,moral
mosaico,high,moral
parqué,high,moral
entablado,high,moral
suelo,high,moral
pavimento,high,moral
solería,high,moral
enlozado,high,moral
enladrilado,high,moral
empedrado,high,moral
adoquín,high,moral
guijarro,high,moral
piedra,high,moral
canto,high,moral
roca,high,moral
peña,high,moral
despeñadero,high,moral
acantilado,high,moral
cantil,high,moral
peñascal,high,moral
pedregal,high,moral
arenal,high,moral
arenisca,high,moral
arena,high,moral
grava,high,moral
cascajo,high,moral
ripio,high,moral
escombro,high,moral
ruina,high,moral
restos,high,moral
vestigios,high,moral
reliquia,high,moral
documento,high,moral
pergamino,high,moral
papel,high,moral
papiro,high,moral
celuloide,high,moral
cartón,high,moral
cartulina,high,moral
fieltro,high,moral
ante,high,moral
gamuza,high,moral
piel,high,moral
cuero,high,moral
badana,high,moral
cordobán,high,moral
cabritilla,high,moral
pelicano,high,moral
zapa,high,moral
ante,high,moral
fanela,high,moral
franela,high,moral
felpa,high,moral
paño,high,moral
pana,high,moral
pique,high,moral
algodón,high,moral
lino,high,moral
cáñamo,high,moral
yute,high,moral
lana,high,moral
seda,high,moral
acero,high,moral
hierro,high,moral
cobre,high,moral
bronce,high,moral
latón,high,moral
estaño,high,moral
plomo,high,moral
mercurio,high,moral
oro,high,moral
plata,high,moral
platino,high,moral
aluminio,high,moral
magnesio,high,moral
zinc,high,moral
níquel,high,moral
cobalto,high,moral
molibdeno,high,moral
tungsteno,high,moral
vanadio,high,moral
cromo,high,moral
manganeso,high,moral
titanio,high,moral
circonio,high,moral
hafnio,high,moral
renio,high,moral
osmio,high,moral
iridio,high,moral
rodio,high,moral
rutenio,high,moral
paladio,high,moral
vidrio,high,moral
cristal,high,moral
espejo,high,moral
lupa,high,moral
lente,high,moral
prisma,high,moral
objetivo,high,moral
ocular,high,moral
telescopio,high,moral
microscopio,high,moral
catalejo,high,moral
periscopio,high,moral
caleidoscopio,high,moral
peroscopio,high,moral
gafas,high,moral
lentes,high,moral
quevedos,high,moral
monóculo,high,moral
binoculares,high,moral
prismáticos,high,moral
anteojos,high,moral
espejuelos,high,moral
lentillas,high,moral
cristal,high,moral
vidriera,high,moral
vitrina,high,moral
escaparate,high,moral
mostrador,high,moral
expositora,high,moral
pasante,high,moral
circulante,high,moral
voltante,high,moral
transitoria,high,moral
pasajero,high,moral
efímero,high,moral
fugaz,high,moral
momentáneo,high,moral
transitorio,high,moral
provisional,high,moral
temporal,high,moral
estacional,high,moral
periódico,high,moral
cíclico,high,moral
recurrente,high,moral
reiterado,high,moral
repetido,high,moral
redundante,high,moral
superfluo,high,moral
accesorio,high,moral
secundario,high,moral
marginal,high,moral
periférico,high,moral
colateral,high,moral
lateral,high,moral
adyacente,high,moral
contiguo,high,moral
vecino,high,moral
inmediato,high,moral
próximo,high,moral
cercano,high,moral
lejano,high,moral
remoto,high,moral
distante,high,moral
apartado,high,moral
aislado,high,moral
retirado,high,moral
recluso,high,moral
encarcelado,high,moral
preso,high,moral
rehén,high,moral
cautivo,high,moral
esclavo,high,moral
siervo,high,moral
vasallo,high,moral
súbdito,high,moral
ciudadano,high,moral
habitante,high,moral
morador,high,moral
residente,high,moral
vecino,high,moral
cohabitante,high,moral
inquilino,high,moral
casero,high,moral
propietario,high,moral
dueño,high,moral
poseedor,high,moral
tenedor,high,moral
usufructuario,high,moral
fideicomisario,high,moral
legatario,high,moral
heredero,high,moral
sucesor,high,moral
deudor,high,moral
acreedor,high,moral
prestamista,high,moral
usurero,high,moral
cambista,high,moral
especulador,high,moral
agiotista,high,moral
logrero,high,moral
negrero,high,moral
traficante,high,moral
contrabandista,high,moral
pirata,high,moral
corsario,high,moral
bucanero,high,moral
filibustero,high,moral
salteador,high,moral
bandolero,high,moral
bandido,high,moral
delincuente,high,moral
criminal,high,moral
asesino,high,moral
homicida,high,moral
parricida,high,moral
matricida,high,moral
filicida,high,moral
fratricida,high,moral
genocida,high,moral
ecocida,high,moral
ladrón,high,moral
pillo,high,moral
ratero,high,moral
carterista,high,moral
maleante,high,moral
granuja,high,moral
bribón,high,moral
sinvergüenza,high,moral
canalla,high,moral
miserable,high,moral
desventurado,high,moral
desdichado,high,moral
infeliz,high,moral
desdichoso,high,moral
desafortunado,high,moral
desgraciado,high,moral
malhadado,high,moral
nefando,high,moral
abominable,high,moral
detestable,high,moral
repugnante,high,moral
odioso,high,moral
execrable,high,moral
maldito,high,moral
condenado,high,moral
perdido,high,moral
réprobo,high,moral
condenación,high,moral
perdición,high,moral
ruina,high,moral
desolación,high,moral
devastación,high,moral
destrucción,high,moral
aniquilación,high,moral
exterminación,high,moral
eliminación,high,moral
supresión,high,moral
abolición,high,moral
derogación,high,moral
revocación,high,moral
rescisión,high,moral
resolución,high,moral
desahucio,high,moral
lanzamiento,high,moral
expulsión,high,moral
destierro,high,moral
exilio,high,moral
ostracismo,high,moral
envilecimiento,high,moral
degradación,high,moral
humillación,high,moral
afrenta,high,moral
injuria,high,moral
insulto,high,moral
ofensa,high,moral
ultraje,high,moral
menoscabo,high,moral
vejación,high,moral
vexación,high,moral
bochorno,high,moral
vergüenza,high,moral
oprobio,high,moral
escarnio,high,moral
burla,high,moral
mofa,high,moral
chanza,high,moral
broma,high,moral
chufeta,high,moral
befación,high,moral
zumba,high,moral
pulsa,high,moral
guasa,high,moral
desenfado,high,moral
desenvoltura,high,moral
familiaridad,high,moral
confianza,high,moral
intimidad,high,moral
privanza,high,moral
valimiento,high,moral
influencia,high,moral
poder,high,moral
autoridad,high,moral
dominio,high,moral
predominio,high,moral
hegemonía,high,moral
supremacía,high,moral
preponderancia,high,moral
ascendencia,high,moral
imperio,high,moral
mando,high,moral
jefatura,high,moral
dirección,high,moral
conducción,high,moral
guía,high,moral
orientación,high,moral
rumbo,high,moral
norte,high,moral
brújula,high,moral
faro,high,moral
hito,high,moral
mojón,high,moral
señal,high,moral
distintivo,high,moral
bandera,high,moral
estandarte,high,moral
enseña,high,moral
insignia,high,moral
emblema,high,moral
escudo,high,moral
blasón,high,moral
heráldica,high,moral
genealogía,high,moral
linaje,high,moral
estirpe,high,moral
abolengo,high,moral
ascendencia,high,moral
prosapia,high,moral
casta,high,moral
raza,high,moral
especie,high,moral
género,high,moral
tipo,high,moral
clase,high,moral
categoría,high,moral
condición,high,moral
rango,high,moral
jerarquía,high,moral
escala,high,moral
grado,high,moral
nivel,high,moral
posición,high,moral
estado,high,moral
situación,high,moral
contexto,high,moral
circunstancias,high,moral
ambiente,high,moral
atmósfera,high,moral
clima,high,moral
tempestad,high,moral
tormenta,high,moral
borrasca,high,moral
vendaval,high,moral
huracán,high,moral
ciclón,high,moral
tifón,high,moral
tornado,high,moral
remolino,high,moral
vórtice,high,moral
torbellino,high,moral
maelstrom,high,moral
caos,high,moral
desorden,high,moral
confusión,high,moral
anarquía,high,moral
barullo,high,moral
alboroto,high,moral
bochinche,high,moral
jaleo,high,moral
tumulto,high,moral
revuelta,high,moral
motín,high,moral
sublevación,high,moral
insurrección,high,moral
sedición,high,moral
conspiración,high,moral
trama,high,moral
intriga,high,moral
enredo,high,moral
maquinación,high,moral
artimana,high,moral
estratagema,high,moral
ardid,high,moral
tramoya,high,moral
juego,high,moral
artificio,high,moral
treta,high,moral
astucia,high,moral
sutileza,high,moral
agudeza,high,moral
ingenio,high,moral
talento,high,moral
habilidad,high,moral
destreza,high,moral
maña,high,moral
don,high,moral
gracia,high,moral
soltura,high,moral
elegancia,high,moral
garbo,high,moral
donaire,high,moral
salero,high,moral
chispa,high,moral
vivacidad,high,moral
animación,high,moral
entusiasmo,high,moral
fervor,high,moral
pasión,high,moral
arrebato,high,moral
éxtasis,high,moral
transporte,high,moral
embeleso,high,moral
hechizo,high,moral
encantamiento,high,moral
embrujo,high,moral
sortilegio,high,moral
magia,high,moral
brujería,high,moral
nigromancia,high,moral
adivinación,high,moral
cartomancia,high,moral
quiromancia,high,moral
astrología,high,moral
alquimia,high,moral
ocultismo,high,moral
esoterismo,high,moral
misticismo,high,moral
teosofía,high,moral
espiritismo,high,moral
fenomenología,high,moral
metafísica,high,moral
ontología,high,moral
epistemología,high,moral
axiología,high,moral
ética,high,moral
deontología,high,moral
utilitarismo,high,moral
hedonismo,high,moral
estoicismo,high,moral
epicureísmo,high,moral
cinismo,high,moral
nihilismo,high,moral
relativismo,high,moral
subjetivismo,high,moral
solipsismo,high,moral
idealismo,high,moral
realismo,high,moral
nominalismo,high,moral
conceptualismo,high,moral
escolasticismo,high,moral
aristotelismo,high,moral
platonismo,high,moral
pitagorismo,high,moral
neoplatonismo,high,moral
cartesianismo,high,moral
racionalismo,high,moral
empirismo,high,moral
sensualismo,high,moral
asociacionismo,high,moral
mecanicismo,high,moral
vitalismo,high,moral
organicismo,high,moral
evolucionismo,high,moral
transformismo,high,moral
adaptacionismo,high,moral
lamarckismo,high,moral
darwinismo,high,moral
neodarwinismo,high,moral
sintetismo,high,moral
gradualismo,high,moral
saltacionismo,high,moral
mutacionismo,high,moral
creacionismo,high,moral
diseño inteligente,high,moral
