adjective,severity,category,gender,number,person_relevance
estafadors,high,moral,masculino,plural,alta
estafadoras,high,moral,femenino,plural,alta
defraudador,high,moral,neutro,singular,alta
defraudadora,high,moral,femenino,singular,alta
defraudadors,high,moral,masculino,plural,alta
defraudadoras,high,moral,femenino,plural,alta
sinvergüenza,high,moral,neutro,singular,alta
sinvergüenzas,high,moral,masculino,plural,alta
descarado,high,moral,neutro,singular,media
descarada,high,moral,femenino,singular,media
descarados,high,moral,masculino,plural,media
descaradas,high,moral,femenino,plural,media
desvergonzado,high,moral,neutro,singular,media
desvergonzada,high,moral,femenino,singular,media
desvergonzados,high,moral,masculino,plural,media
desvergonzadas,high,moral,femenino,plural,media
atrevido,high,moral,neutro,singular,media
atrevida,high,moral,femenino,singular,media
atrevidos,high,moral,masculino,plural,media
atrevidas,high,moral,femenino,plural,media
insolente,high,moral,neutro,singular,media
insolentes,high,moral,masculino,plural,media
grosero,high,moral,neutro,singular,media
grosera,high,moral,femenino,singular,media
groseros,high,moral,masculino,plural,media
groseras,high,moral,femenino,plural,media
vulgar,high,moral,neutro,singular,baja
vulgars,high,moral,masculino,plural,baja
ordinario,high,moral,neutro,singular,baja
ordinaria,high,moral,femenino,singular,baja
ordinarios,high,moral,masculino,plural,baja
ordinarias,high,moral,femenino,plural,baja
tosco,high,moral,neutro,singular,baja
tosca,high,moral,femenino,singular,baja
toscos,high,moral,masculino,plural,baja
toscas,high,moral,femenino,plural,baja
basto,high,moral,neutro,singular,baja
basta,high,moral,femenino,singular,baja
bastos,high,moral,masculino,plural,baja
bastas,high,moral,femenino,plural,baja
gañán,high,moral,neutro,singular,media
gañana,high,moral,femenino,singular,media
gañáns,high,moral,masculino,plural,media
gañanas,high,moral,femenino,plural,media
patán,high,moral,neutro,singular,media
patana,high,moral,femenino,singular,media
patáns,high,moral,masculino,plural,media
patanas,high,moral,femenino,plural,media
rústico,high,moral,neutro,singular,baja
rústica,high,moral,femenino,singular,baja
rústicos,high,moral,masculino,plural,baja
rústicas,high,moral,femenino,plural,baja
campesino,high,moral,neutro,singular,baja
campesina,high,moral,femenino,singular,baja
campesinos,high,moral,masculino,plural,baja
campesinas,high,moral,femenino,plural,baja
ignorante,high,moral,neutro,singular,media
ignorantes,high,moral,masculino,plural,media
analfabeto,high,moral,neutro,singular,baja
analfabeta,high,moral,femenino,singular,baja
analfabetos,high,moral,masculino,plural,baja
analfabetas,high,moral,femenino,plural,baja
estúpido,high,moral,neutro,singular,alta
estúpida,high,moral,femenino,singular,alta
estúpidos,high,moral,masculino,plural,alta
estúpidas,high,moral,femenino,plural,alta
idiota,high,moral,neutro,singular,alta
idiotas,high,moral,masculino,plural,alta
imbécil,high,moral,neutro,singular,alta
imbécils,high,moral,masculino,plural,alta
retrasado,high,moral,neutro,singular,alta
retrasada,high,moral,femenino,singular,alta
retrasados,high,moral,masculino,plural,alta
retrasadas,high,moral,femenino,plural,alta
débil,high,moral,neutro,singular,media
débils,high,moral,masculino,plural,media
cobarde,high,moral,neutro,singular,media
cobardes,high,moral,masculino,plural,media
miedoso,high,moral,neutro,singular,media
miedosa,high,moral,femenino,singular,media
miedosos,high,moral,masculino,plural,media
miedosas,high,moral,femenino,plural,media
pusilánime,high,moral,neutro,singular,media
pusilánimes,high,moral,masculino,plural,media
medroso,high,moral,neutro,singular,media
medrosa,high,moral,femenino,singular,media
medrosos,high,moral,masculino,plural,media
medrosas,high,moral,femenino,plural,media
tímido,high,moral,neutro,singular,baja
tímida,high,moral,femenino,singular,baja
tímidos,high,moral,masculino,plural,baja
tímidas,high,moral,femenino,plural,baja
retraído,high,moral,neutro,singular,baja
retraída,high,moral,femenino,singular,baja
retraídos,high,moral,masculino,plural,baja
retraídas,high,moral,femenino,plural,baja
apocado,high,moral,neutro,singular,media
apocada,high,moral,femenino,singular,media
apocados,high,moral,masculino,plural,media
apocadas,high,moral,femenino,plural,media
encogido,high,moral,neutro,singular,media
encogida,high,moral,femenino,singular,media
encogidos,high,moral,masculino,plural,media
encogidas,high,moral,femenino,plural,media
humillado,high,moral,neutro,singular,media
humillada,high,moral,femenino,singular,media
humillados,high,moral,masculino,plural,media
humilladas,high,moral,femenino,plural,media
avergonzado,high,moral,neutro,singular,media
avergonzada,high,moral,femenino,singular,media
avergonzados,high,moral,masculino,plural,media
avergonzadas,high,moral,femenino,plural,media
infame,high,moral,neutro,singular,media
infames,high,moral,masculino,plural,media
deshonroso,high,moral,neutro,singular,media
deshonrosa,high,moral,femenino,singular,media
deshonrosos,high,moral,masculino,plural,media
deshonrosas,high,moral,femenino,plural,media
deshonrante,high,moral,neutro,singular,media
deshonrantes,high,moral,masculino,plural,media
oprobioso,high,moral,neutro,singular,media
oprobios,high,moral,femenino,singular,media
oprobiosos,high,moral,masculino,plural,media
oprobioss,high,moral,femenino,plural,media
escarnecedor,high,moral,neutro,singular,media
escarneced,high,moral,femenino,singular,media
escarnecedors,high,moral,masculino,plural,media
escarneceds,high,moral,femenino,plural,media
burlador,high,moral,neutro,singular,media
burla,high,moral,femenino,singular,media
burladors,high,moral,masculino,plural,media
burlas,high,moral,femenino,plural,media
satírico,high,moral,neutro,singular,media
satírica,high,moral,femenino,singular,media
satíricos,high,moral,masculino,plural,media
satíricas,high,moral,femenino,plural,media
irónico,high,moral,neutro,singular,media
irónica,high,moral,femenino,singular,media
irónicos,high,moral,masculino,plural,media
irónicas,high,moral,femenino,plural,media
mordaz,high,moral,neutro,singular,media
mordazs,high,moral,masculino,plural,media
cáustico,high,moral,neutro,singular,media
cáustica,high,moral,femenino,singular,media
cáusticos,high,moral,masculino,plural,media
cáusticas,high,moral,femenino,plural,media
sarcástico,high,moral,neutro,singular,media
sarcástica,high,moral,femenino,singular,media
sarcásticos,high,moral,masculino,plural,media
sarcásticas,high,moral,femenino,plural,media
despiadado,high,moral,neutro,singular,media
despiadada,high,moral,femenino,singular,media
despiadados,high,moral,masculino,plural,media
despiadadas,high,moral,femenino,plural,media
cruel,high,moral,neutro,singular,alta
crueles,high,moral,masculino,plural,alta
cruels,high,moral,femenino,plural,alta
inhumano,high,moral,neutro,singular,media
inhumana,high,moral,femenino,singular,media
inhumanos,high,moral,masculino,plural,media
inhumanas,high,moral,femenino,plural,media
diabólico,high,moral,neutro,singular,media
diabólica,high,moral,femenino,singular,media
diabólicos,high,moral,masculino,plural,media
diabólicas,high,moral,femenino,plural,media
satánico,high,moral,neutro,singular,media
satánica,high,moral,femenino,singular,media
satánicos,high,moral,masculino,plural,media
satánicas,high,moral,femenino,plural,media
demoníaco,high,moral,neutro,singular,media
demoníaca,high,moral,femenino,singular,media
demoníacos,high,moral,masculino,plural,media
demoníacas,high,moral,femenino,plural,media
infernal,high,moral,neutro,singular,media
infernals,high,moral,masculino,plural,media
condenado,high,moral,neutro,singular,media
condenada,high,moral,femenino,singular,media
condenados,high,moral,masculino,plural,media
condenadas,high,moral,femenino,plural,media
maldito,high,moral,neutro,singular,media
maldita,high,moral,femenino,singular,media
malditos,high,moral,masculino,plural,media
malditas,high,moral,femenino,plural,media
execrable,high,moral,neutro,singular,media
execrables,high,moral,masculino,plural,media
detestable,high,moral,neutro,singular,media
detestables,high,moral,masculino,plural,media
aborrecible,high,moral,neutro,singular,media
aborrecibles,high,moral,masculino,plural,media
odioso,high,moral,neutro,singular,media
odiosa,high,moral,femenino,singular,media
odiosos,high,moral,masculino,plural,media
odiosas,high,moral,femenino,plural,media
inmundo,high,moral,neutro,singular,media
inmunda,high,moral,femenino,singular,media
inmundos,high,moral,masculino,plural,media
inmundas,high,moral,femenino,plural,media
sucio,high,moral,neutro,singular,media
sucia,high,moral,femenino,singular,media
sucios,high,moral,masculino,plural,media
sucias,high,moral,femenino,plural,media
mugriento,high,moral,neutro,singular,media
mugrienta,high,moral,femenino,singular,media
mugrientos,high,moral,masculino,plural,media
mugrientas,high,moral,femenino,plural,media
cochino,high,moral,neutro,singular,media
cochina,high,moral,femenino,singular,media
cochinos,high,moral,masculino,plural,media
cochinas,high,moral,femenino,plural,media
puerco,high,moral,neutro,singular,media
puerca,high,moral,femenino,singular,media
puercos,high,moral,masculino,plural,media
puercas,high,moral,femenino,plural,media
marrano,high,moral,neutro,singular,media
marrana,high,moral,femenino,singular,media
marranos,high,moral,masculino,plural,media
marranas,high,moral,femenino,plural,media
desaseado,high,moral,neutro,singular,media
desaseada,high,moral,femenino,singular,media
desaseados,high,moral,masculino,plural,media
desaseadas,high,moral,femenino,plural,media
desaliñado,high,moral,neutro,singular,media
desaliñada,high,moral,femenino,singular,media
desaliñados,high,moral,masculino,plural,media
desaliñadas,high,moral,femenino,plural,media
andrajoso,high,moral,neutro,singular,media
andrajosa,high,moral,femenino,singular,media
andrajosos,high,moral,masculino,plural,media
andrajosas,high,moral,femenino,plural,media
harapiento,high,moral,neutro,singular,media
harapienta,high,moral,femenino,singular,media
harapientos,high,moral,masculino,plural,media
harapientas,high,moral,femenino,plural,media
zarrapastroso,high,moral,neutro,singular,media
zarrapastrosa,high,moral,femenino,singular,media
zarrapastrosos,high,moral,masculino,plural,media
zarrapastrosas,high,moral,femenino,plural,media
desgarbado,high,moral,neutro,singular,media
desgarbada,high,moral,femenino,singular,media
desgarbados,high,moral,masculino,plural,media
desgarbadas,high,moral,femenino,plural,media
torpe,high,moral,neutro,singular,media
torpes,high,moral,masculino,plural,media
