adjective,severity,category,gender,number,person_relevance
estafador,high,moral,neutro,singular,alta
estafadora,high,moral,femenino,singular,alta
estafadors,high,moral,masculino,plural,alta
estafadoras,high,moral,femenino,plural,alta
defraudador,high,moral,neutro,singular,alta
defraudadora,high,moral,femenino,singular,alta
defraudadors,high,moral,masculino,plural,alta
defraudadoras,high,moral,femenino,plural,alta
sinvergüenza,high,moral,neutro,singular,alta
sinvergüenzas,high,moral,masculino,plural,alta
descarado,high,moral,neutro,singular,media
descarada,high,moral,femenino,singular,media
descarados,high,moral,masculino,plural,media
descaradas,high,moral,femenino,plural,media
desvergonzado,high,moral,neutro,singular,media
desvergonzada,high,moral,femenino,singular,media
desvergonzados,high,moral,masculino,plural,media
desvergonzadas,high,moral,femenino,plural,media
atrevido,high,moral,neutro,singular,alta
atrevida,high,moral,femenino,singular,alta
atrevidos,high,moral,masculino,plural,alta
atrevidas,high,moral,femenino,plural,alta
insolente,high,moral,neutro,singular,alta
insolentes,high,moral,masculino,plural,alta
grosero,high,moral,neutro,singular,alta
grosera,high,moral,femenino,singular,alta
groseros,high,moral,masculino,plural,alta
groseras,high,moral,femenino,plural,alta
vulgar,high,moral,neutro,singular,baja
vulgars,high,moral,masculino,plural,baja
ordinario,high,moral,neutro,singular,baja
ordinaria,high,moral,femenino,singular,baja
ordinarios,high,moral,masculino,plural,baja
ordinarias,high,moral,femenino,plural,baja
tosco,high,moral,neutro,singular,baja
tosca,high,moral,femenino,singular,baja
toscos,high,moral,masculino,plural,baja
toscas,high,moral,femenino,plural,baja
basto,high,moral,neutro,singular,baja
basta,high,moral,femenino,singular,baja
bastos,high,moral,masculino,plural,baja
bastas,high,moral,femenino,plural,baja
gañán,high,moral,neutro,singular,alta
gañana,high,moral,femenino,singular,alta
gañáns,high,moral,masculino,plural,alta
gañanas,high,moral,femenino,plural,alta
patán,high,moral,neutro,singular,alta
patana,high,moral,femenino,singular,alta
patáns,high,moral,masculino,plural,alta
patanas,high,moral,femenino,plural,alta
rústico,high,moral,neutro,singular,baja
rústica,high,moral,femenino,singular,baja
rústicos,high,moral,masculino,plural,baja
rústicas,high,moral,femenino,plural,baja
campesino,high,moral,neutro,singular,baja
campesina,high,moral,femenino,singular,baja
campesinos,high,moral,masculino,plural,baja
campesinas,high,moral,femenino,plural,baja
ignorante,high,moral,neutro,singular,alta
ignorantes,high,moral,masculino,plural,alta
analfabeto,high,moral,neutro,singular,alta
analfabeta,high,moral,femenino,singular,alta
analfabetos,high,moral,masculino,plural,alta
analfabetas,high,moral,femenino,plural,alta
estúpido,high,moral,neutro,singular,alta
estúpida,high,moral,femenino,singular,alta
estúpidos,high,moral,masculino,plural,alta
estúpidas,high,moral,femenino,plural,alta
idiota,high,moral,neutro,singular,alta
idiotas,high,moral,masculino,plural,alta
imbécil,high,moral,neutro,singular,alta
imbécils,high,moral,masculino,plural,alta
retrasado,high,moral,neutro,singular,alta
retrasada,high,moral,femenino,singular,alta
retrasados,high,moral,masculino,plural,alta
retrasadas,high,moral,femenino,plural,alta
débil,high,moral,neutro,singular,media
débils,high,moral,masculino,plural,media
cobarde,high,moral,neutro,singular,media
cobardes,high,moral,masculino,plural,media
miedoso,high,moral,neutro,singular,media
miedosa,high,moral,femenino,singular,media
miedosos,high,moral,masculino,plural,media
miedosas,high,moral,femenino,plural,media
pusilánime,high,moral,neutro,singular,alta
pusilánimes,high,moral,masculino,plural,alta
medroso,high,moral,neutro,singular,media
medrosa,high,moral,femenino,singular,media
medrosos,high,moral,masculino,plural,media
medrosas,high,moral,femenino,plural,media
tímido,high,moral,neutro,singular,baja
tímida,high,moral,femenino,singular,baja
tímidos,high,moral,masculino,plural,baja
tímidas,high,moral,femenino,plural,baja
retraído,high,moral,neutro,singular,baja
retraída,high,moral,femenino,singular,baja
retraídos,high,moral,masculino,plural,baja
retraídas,high,moral,femenino,plural,baja
apocado,high,moral,neutro,singular,alta
apocada,high,moral,femenino,singular,alta
apocados,high,moral,masculino,plural,alta
apocadas,high,moral,femenino,plural,alta
encogido,high,moral,neutro,singular,alta
encogida,high,moral,femenino,singular,alta
encogidos,high,moral,masculino,plural,alta
encogidas,high,moral,femenino,plural,alta
humillado,high,moral,neutro,singular,alta
humillada,high,moral,femenino,singular,alta
humillados,high,moral,masculino,plural,alta
humilladas,high,moral,femenino,plural,alta
avergonzado,high,moral,neutro,singular,alta
avergonzada,high,moral,femenino,singular,alta
avergonzados,high,moral,masculino,plural,alta
avergonzadas,high,moral,femenino,plural,alta
infame,high,moral,neutro,singular,alta
infames,high,moral,masculino,plural,alta
deshonroso,high,moral,neutro,singular,alta
deshonrosa,high,moral,femenino,singular,alta
deshonrosos,high,moral,masculino,plural,alta
deshonrosas,high,moral,femenino,plural,alta
deshonrante,high,moral,neutro,singular,alta
deshonrantes,high,moral,masculino,plural,alta
oprobioso,high,moral,neutro,singular,alta
oprobios,high,moral,femenino,singular,alta
oprobiosos,high,moral,masculino,plural,alta
oprobioss,high,moral,femenino,plural,alta
escarnecedor,high,moral,neutro,singular,alta
escarneced,high,moral,femenino,singular,alta
escarnecedors,high,moral,masculino,plural,alta
escarneceds,high,moral,femenino,plural,alta
burlador,high,moral,neutro,singular,alta
burla,high,moral,femenino,singular,alta
burladors,high,moral,masculino,plural,alta
burlas,high,moral,femenino,plural,alta
satírico,high,moral,neutro,singular,alta
satírica,high,moral,femenino,singular,alta
satíricos,high,moral,masculino,plural,alta
satíricas,high,moral,femenino,plural,alta
irónico,high,moral,neutro,singular,alta
irónica,high,moral,femenino,singular,alta
irónicos,high,moral,masculino,plural,alta
irónicas,high,moral,femenino,plural,alta
mordaz,high,moral,neutro,singular,alta
mordazs,high,moral,masculino,plural,alta
cáustico,high,moral,neutro,singular,alta
cáustica,high,moral,femenino,singular,alta
cáusticos,high,moral,masculino,plural,alta
cáusticas,high,moral,femenino,plural,alta
sarcástico,high,moral,neutro,singular,alta
sarcástica,high,moral,femenino,singular,alta
sarcásticos,high,moral,masculino,plural,alta
sarcásticas,high,moral,femenino,plural,alta
despiadado,high,moral,neutro,singular,alta
despiadada,high,moral,femenino,singular,alta
despiadados,high,moral,masculino,plural,alta
despiadadas,high,moral,femenino,plural,alta
cruel,high,moral,neutro,singular,alta
cruels,high,moral,masculino,plural,alta
inhumano,high,moral,neutro,singular,alta
inhumana,high,moral,femenino,singular,alta
inhumanos,high,moral,masculino,plural,alta
inhumanas,high,moral,femenino,plural,alta
diabólico,high,moral,neutro,singular,alta
diabólica,high,moral,femenino,singular,alta
diabólicos,high,moral,masculino,plural,alta
diabólicas,high,moral,femenino,plural,alta
satánico,high,moral,neutro,singular,alta
satánica,high,moral,femenino,singular,alta
satánicos,high,moral,masculino,plural,alta
satánicas,high,moral,femenino,plural,alta
demoníaco,high,moral,neutro,singular,alta
demoníaca,high,moral,femenino,singular,alta
demoníacos,high,moral,masculino,plural,alta
demoníacas,high,moral,femenino,plural,alta
infernal,high,moral,neutro,singular,alta
infernals,high,moral,masculino,plural,alta
condenado,high,moral,neutro,singular,alta
condenada,high,moral,femenino,singular,alta
condenados,high,moral,masculino,plural,alta
condenadas,high,moral,femenino,plural,alta
maldito,high,moral,neutro,singular,alta
maldita,high,moral,femenino,singular,alta
malditos,high,moral,masculino,plural,alta
malditas,high,moral,femenino,plural,alta
execrable,high,moral,neutro,singular,alta
execrables,high,moral,masculino,plural,alta
detestable,high,moral,neutro,singular,alta
detestables,high,moral,masculino,plural,alta
aborrecible,high,moral,neutro,singular,alta
aborrecibles,high,moral,masculino,plural,alta
odioso,high,moral,neutro,singular,alta
odiosa,high,moral,femenino,singular,alta
odiosos,high,moral,masculino,plural,alta
odiosas,high,moral,femenino,plural,alta
inmundo,high,moral,neutro,singular,alta
inmunda,high,moral,femenino,singular,alta
inmundos,high,moral,masculino,plural,alta
inmundas,high,moral,femenino,plural,alta
sucio,high,moral,neutro,singular,alta
sucia,high,moral,femenino,singular,alta
sucios,high,moral,masculino,plural,alta
sucias,high,moral,femenino,plural,alta
mugriento,high,moral,neutro,singular,alta
mugrienta,high,moral,femenino,singular,alta
mugrientos,high,moral,masculino,plural,alta
mugrientas,high,moral,femenino,plural,alta
cochino,high,moral,neutro,singular,alta
cochina,high,moral,femenino,singular,alta
cochinos,high,moral,masculino,plural,alta
cochinas,high,moral,femenino,plural,alta
puerco,high,moral,neutro,singular,alta
puerca,high,moral,femenino,singular,alta
puercos,high,moral,masculino,plural,alta
puercas,high,moral,femenino,plural,alta
marrano,high,moral,neutro,singular,alta
marrana,high,moral,femenino,singular,alta
marranos,high,moral,masculino,plural,alta
marranas,high,moral,femenino,plural,alta
desaseado,high,moral,neutro,singular,alta
desaseada,high,moral,femenino,singular,alta
desaseados,high,moral,masculino,plural,alta
desaseadas,high,moral,femenino,plural,alta
desaliñado,high,moral,neutro,singular,alta
desaliñada,high,moral,femenino,singular,alta
desaliñados,high,moral,masculino,plural,alta
desaliñadas,high,moral,femenino,plural,alta
andrajoso,high,moral,neutro,singular,alta
andrajosa,high,moral,femenino,singular,alta
andrajosos,high,moral,masculino,plural,alta
andrajosas,high,moral,femenino,plural,alta
harapiento,high,moral,neutro,singular,alta
harapienta,high,moral,femenino,singular,alta
harapientos,high,moral,masculino,plural,alta
harapientas,high,moral,femenino,plural,alta
zarrapastroso,high,moral,neutro,singular,alta
zarrapastrosa,high,moral,femenino,singular,alta
zarrapastrosos,high,moral,masculino,plural,alta
zarrapastrosas,high,moral,femenino,plural,alta
desgarbado,high,moral,neutro,singular,alta
desgarbada,high,moral,femenino,singular,alta
desgarbados,high,moral,masculino,plural,alta
desgarbadas,high,moral,femenino,plural,alta
torpe,high,moral,neutro,singular,media
torpes,high,moral,masculino,plural,media
patoso,high,moral,neutro,singular,alta
patosa,high,moral,femenino,singular,alta
patosos,high,moral,masculino,plural,alta
patosas,high,moral,femenino,plural,alta
zafio,high,moral,neutro,singular,alta
zafia,high,moral,femenino,singular,alta
zafios,high,moral,masculino,plural,alta
zafias,high,moral,femenino,plural,alta
desventurado,high,moral,neutro,singular,alta
desventurada,high,moral,femenino,singular,alta
desventurados,high,moral,masculino,plural,alta
desventuradas,high,moral,femenino,plural,alta
violento,high,moral,neutro,singular,alta
violenta,high,moral,femenino,singular,alta
violentos,high,moral,masculino,plural,alta
violentas,high,moral,femenino,plural,alta
brutal,high,moral,neutro,singular,alta
brutals,high,moral,masculino,plural,alta
salvaje,high,moral,neutro,singular,alta
salvajes,high,moral,masculino,plural,alta
feroz,high,moral,neutro,singular,alta
ferozs,high,moral,masculino,plural,alta
arrebatado,high,moral,neutro,singular,alta
arrebatada,high,moral,femenino,singular,alta
arrebatados,high,moral,masculino,plural,alta
arrebatadas,high,moral,femenino,plural,alta
irreflexivo,high,moral,neutro,singular,alta
irreflexiva,high,moral,femenino,singular,alta
irreflexivos,high,moral,masculino,plural,alta
irreflexivas,high,moral,femenino,plural,alta
impulsivo,high,moral,neutro,singular,alta
impulsiva,high,moral,femenino,singular,alta
impulsivos,high,moral,masculino,plural,alta
impulsivas,high,moral,femenino,plural,alta
avaro,high,moral,neutro,singular,media
avara,high,moral,femenino,singular,media
avaros,high,moral,masculino,plural,media
avaras,high,moral,femenino,plural,media
codicioso,high,moral,neutro,singular,media
codiciosa,high,moral,femenino,singular,media
codiciosos,high,moral,masculino,plural,media
codiciosas,high,moral,femenino,plural,media
tacaño,high,moral,neutro,singular,media
tacaña,high,moral,femenino,singular,media
tacaños,high,moral,masculino,plural,media
tacañas,high,moral,femenino,plural,media
envídioso,high,moral,neutro,singular,media
envidiosa,high,moral,femenino,singular,media
envídiosos,high,moral,masculino,plural,media
envidiosas,high,moral,femenino,plural,media
celoso,high,moral,neutro,singular,media
celosa,high,moral,femenino,singular,media
celosos,high,moral,masculino,plural,media
celosas,high,moral,femenino,plural,media
iracundo,high,moral,neutro,singular,media
iracunda,high,moral,femenino,singular,media
iracundos,high,moral,masculino,plural,media
iracundas,high,moral,femenino,plural,media
colérico,high,moral,neutro,singular,media
colérica,high,moral,femenino,singular,media
coléricos,high,moral,masculino,plural,media
coléricas,high,moral,femenino,plural,media
temperamental,high,moral,neutro,singular,alta
temperamentals,high,moral,masculino,plural,alta
bilioso,high,moral,neutro,singular,alta
biliosa,high,moral,femenino,singular,alta
biliosos,high,moral,masculino,plural,alta
biliosas,high,moral,femenino,plural,alta
esplénico,high,moral,neutro,singular,alta
esplénica,high,moral,femenino,singular,alta
esplénicos,high,moral,masculino,plural,alta
esplénicas,high,moral,femenino,plural,alta
presuntuoso,high,moral,neutro,singular,baja
presuntuosa,high,moral,femenino,singular,baja
presuntuosos,high,moral,masculino,plural,baja
presuntuosas,high,moral,femenino,plural,baja
soberbo,high,moral,neutro,singular,baja
soberbia,high,moral,femenino,singular,baja
soberbos,high,moral,masculino,plural,baja
soberbias,high,moral,femenino,plural,baja
arrogante,high,moral,neutro,singular,media
arrogantes,high,moral,masculino,plural,media
altanero,high,moral,neutro,singular,alta
altanera,high,moral,femenino,singular,alta
altaneros,high,moral,masculino,plural,alta
altaneras,high,moral,femenino,plural,alta
engreído,high,moral,neutro,singular,alta
engreída,high,moral,femenino,singular,alta
engreídos,high,moral,masculino,plural,alta
engreídas,high,moral,femenino,plural,alta
petulante,high,moral,neutro,singular,alta
petulantes,high,moral,masculino,plural,alta
hipócrita,high,moral,neutro,singular,alta
hipócritas,high,moral,masculino,plural,alta
falaz,high,moral,neutro,singular,alta
falazs,high,moral,masculino,plural,alta
engañador,high,moral,neutro,singular,alta
engañadora,high,moral,femenino,singular,alta
engañadors,high,moral,masculino,plural,alta
engañadoras,high,moral,femenino,plural,alta
tramposo,high,moral,neutro,singular,alta
tramposa,high,moral,femenino,singular,alta
tramposos,high,moral,masculino,plural,alta
tramposas,high,moral,femenino,plural,alta
deceptivo,high,moral,neutro,singular,alta
deceptiva,high,moral,femenino,singular,alta
deceptivos,high,moral,masculino,plural,alta
deceptivas,high,moral,femenino,plural,alta
fraudulento,high,moral,neutro,singular,alta
fraudulenta,high,moral,femenino,singular,alta
fraudulentos,high,moral,masculino,plural,alta
fraudulentas,high,moral,femenino,plural,alta
malversador,high,moral,neutro,singular,alta
malversadors,high,moral,masculino,plural,alta
desfalcador,high,moral,neutro,singular,alta
desfalcadors,high,moral,masculino,plural,alta
ladrón,high,moral,neutro,singular,alta
ladróns,high,moral,masculino,plural,alta
ratero,high,moral,neutro,singular,alta
rateros,high,moral,masculino,plural,alta
mangante,high,moral,neutro,singular,alta
mangantes,high,moral,masculino,plural,alta
tahúr,high,moral,neutro,singular,alta
tahúrs,high,moral,masculino,plural,alta
pícaro,high,moral,neutro,singular,alta
pícaros,high,moral,masculino,plural,alta
fullero,high,moral,neutro,singular,alta
fulleros,high,moral,masculino,plural,alta
vividor,high,moral,neutro,singular,alta
vividors,high,moral,masculino,plural,alta
parásito,high,moral,neutro,singular,alta
parásitos,high,moral,masculino,plural,alta
aprovechado,high,moral,neutro,singular,alta
aprovechados,high,moral,masculino,plural,alta
licencioso,high,moral,neutro,singular,alta
licenciosos,high,moral,masculino,plural,alta
disoluto,high,moral,neutro,singular,alta
disolutos,high,moral,masculino,plural,alta
libertino,high,moral,neutro,singular,alta
libertinos,high,moral,masculino,plural,alta
hedonista,high,moral,neutro,singular,alta
hedonistas,high,moral,masculino,plural,alta
sibarita,high,moral,neutro,singular,alta
sibaritas,high,moral,masculino,plural,alta
epicúreo,high,moral,neutro,singular,alta
epicúreos,high,moral,masculino,plural,alta
sensualista,high,moral,neutro,singular,alta
sensualistas,high,moral,masculino,plural,alta
concupiscente,high,moral,neutro,singular,alta
concupiscentes,high,moral,masculino,plural,alta
lujuriente,high,moral,neutro,singular,alta
lujurientes,high,moral,masculino,plural,alta
deshonrador,high,moral,neutro,singular,alta
deshonradors,high,moral,masculino,plural,alta
violador,high,moral,neutro,singular,alta
violadors,high,moral,masculino,plural,alta
agresor,high,moral,neutro,singular,alta
agresors,high,moral,masculino,plural,alta
victimario,high,moral,neutro,singular,alta
victimarios,high,moral,masculino,plural,alta
matón,high,moral,neutro,singular,alta
matóns,high,moral,masculino,plural,alta
pendenciero,high,moral,neutro,singular,alta
pendenciera,high,moral,femenino,singular,alta
pendencieros,high,moral,masculino,plural,alta
pendencieras,high,moral,femenino,plural,alta
bravucón,high,moral,neutro,singular,alta
bravucóns,high,moral,masculino,plural,alta
fanfarrón,high,moral,neutro,singular,alta
fanfarrona,high,moral,femenino,singular,alta
fanfarróns,high,moral,masculino,plural,alta
fanfarronas,high,moral,femenino,plural,alta
jactancioso,high,moral,neutro,singular,alta
jactanciosa,high,moral,femenino,singular,alta
jactanciosos,high,moral,masculino,plural,alta
jactanciosas,high,moral,femenino,plural,alta
vanidoso,high,moral,neutro,singular,alta
vanidosa,high,moral,femenino,singular,alta
vanidosos,high,moral,masculino,plural,alta
vanidosas,high,moral,femenino,plural,alta
narcisista,high,moral,neutro,singular,alta
narcisistas,high,moral,masculino,plural,alta
egocéntrico,high,moral,neutro,singular,alta
egocéntricos,high,moral,masculino,plural,alta
egoísta,high,moral,neutro,singular,alta
egoístas,high,moral,masculino,plural,alta
misántropo,high,moral,neutro,singular,alta
misántropos,high,moral,masculino,plural,alta
misógino,high,moral,neutro,singular,alta
misóginos,high,moral,masculino,plural,alta
machista,high,moral,neutro,singular,alta
machistas,high,moral,masculino,plural,alta
sexista,high,moral,neutro,singular,alta
sexistas,high,moral,masculino,plural,alta
racista,high,moral,neutro,singular,alta
racistas,high,moral,masculino,plural,alta
intolerante,high,moral,neutro,singular,alta
intolerantes,high,moral,masculino,plural,alta
prejuiciado,high,moral,neutro,singular,alta
prejuiciados,high,moral,masculino,plural,alta
parcial,high,moral,neutro,singular,alta
parcials,high,moral,masculino,plural,alta
injusto,high,moral,neutro,singular,alta
injustos,high,moral,masculino,plural,alta
despiadoso,high,moral,neutro,singular,alta
despiadosos,high,moral,masculino,plural,alta
insensible,high,moral,neutro,singular,alta
insensibles,high,moral,masculino,plural,alta
desalmado,high,moral,neutro,singular,alta
desalmados,high,moral,masculino,plural,alta
frío,high,moral,neutro,singular,alta
fríos,high,moral,masculino,plural,alta
indiferente,high,moral,neutro,singular,alta
indiferentes,high,moral,masculino,plural,alta
apático,high,moral,neutro,singular,alta
apáticos,high,moral,masculino,plural,alta
negligente,high,moral,neutro,singular,alta
negligentes,high,moral,masculino,plural,alta
irresponsable,high,moral,neutro,singular,alta
irresponsables,high,moral,masculino,plural,alta
imprudente,high,moral,neutro,singular,alta
imprudentes,high,moral,masculino,plural,alta
temerario,high,moral,neutro,singular,alta
temerarios,high,moral,masculino,plural,alta
insensato,high,moral,neutro,singular,alta
insensatos,high,moral,masculino,plural,alta
desatinado,high,moral,neutro,singular,alta
desatinados,high,moral,masculino,plural,alta
alocado,high,moral,neutro,singular,alta
alocados,high,moral,masculino,plural,alta
atontado,high,moral,neutro,singular,alta
atontados,high,moral,masculino,plural,alta
zopenco,high,moral,neutro,singular,alta
zopencos,high,moral,masculino,plural,alta
cretino,high,moral,neutro,singular,alta
cretinos,high,moral,masculino,plural,alta
obtuso,high,moral,neutro,singular,alta
obtusos,high,moral,masculino,plural,alta
rude,high,moral,neutro,singular,alta
rudes,high,moral,masculino,plural,alta
áspero,high,moral,neutro,singular,alta
ásperos,high,moral,masculino,plural,alta
desabrido,high,moral,neutro,singular,alta
desabridos,high,moral,masculino,plural,alta
amargado,high,moral,neutro,singular,alta
amargados,high,moral,masculino,plural,alta
resentido,high,moral,neutro,singular,alta
resentidos,high,moral,masculino,plural,alta
rencoroso,high,moral,neutro,singular,alta
rencorosos,high,moral,masculino,plural,alta
vengativo,high,moral,neutro,singular,alta
vengativos,high,moral,masculino,plural,alta
malévolo,high,moral,neutro,singular,alta
malévolos,high,moral,masculino,plural,alta
maligno,high,moral,neutro,singular,alta
malignos,high,moral,masculino,plural,alta
pernicioso,high,moral,neutro,singular,alta
perniciosos,high,moral,masculino,plural,alta
nocivo,high,moral,neutro,singular,alta
nocivos,high,moral,masculino,plural,alta
dañino,high,moral,neutro,singular,alta
dañinos,high,moral,masculino,plural,alta
perjudicial,high,moral,neutro,singular,alta
perjudicials,high,moral,masculino,plural,alta
tóxico,high,moral,neutro,singular,alta
tóxicos,high,moral,masculino,plural,alta
venenoso,high,moral,neutro,singular,alta
venenosos,high,moral,masculino,plural,alta
letal,high,moral,neutro,singular,alta
letals,high,moral,masculino,plural,alta
mortal,high,moral,neutro,singular,alta
mortals,high,moral,masculino,plural,alta
mortífero,high,moral,neutro,singular,alta
mortíferos,high,moral,masculino,plural,alta
nefando,high,moral,neutro,singular,alta
nefandos,high,moral,masculino,plural,alta
funesto,high,moral,neutro,singular,alta
funestos,high,moral,masculino,plural,alta
maléfico,high,moral,neutro,singular,alta
maléficos,high,moral,masculino,plural,alta
aciago,high,moral,neutro,singular,alta
aciagos,high,moral,masculino,plural,alta
siniestro,high,moral,neutro,singular,alta
siniestros,high,moral,masculino,plural,alta
ominoso,high,moral,neutro,singular,alta
ominosos,high,moral,masculino,plural,alta
presago,high,moral,neutro,singular,alta
presagos,high,moral,masculino,plural,alta
desfavorable,high,moral,neutro,singular,alta
desfavorables,high,moral,masculino,plural,alta
adverso,high,moral,neutro,singular,alta
adversa,high,moral,femenino,singular,alta
adversos,high,moral,masculino,plural,alta
adversas,high,moral,femenino,plural,alta
contrario,high,moral,neutro,singular,alta
contraria,high,moral,femenino,singular,alta
contrarios,high,moral,masculino,plural,alta
contrarias,high,moral,femenino,plural,alta
opuesto,high,moral,neutro,singular,alta
opuesta,high,moral,femenino,singular,alta
opuestos,high,moral,masculino,plural,alta
opuestas,high,moral,femenino,plural,alta
antitético,high,moral,neutro,singular,alta
antitética,high,moral,femenino,singular,alta
antitéticos,high,moral,masculino,plural,alta
antitéticas,high,moral,femenino,plural,alta
incompatible,high,moral,neutro,singular,alta
incompatibles,high,moral,masculino,plural,alta
incongruente,high,moral,neutro,singular,alta
incongruentes,high,moral,masculino,plural,alta
incoherente,high,moral,neutro,singular,alta
incoherentes,high,moral,masculino,plural,alta
contradictorio,high,moral,neutro,singular,alta
contradictoria,high,moral,femenino,singular,alta
contradictorios,high,moral,masculino,plural,alta
contradictorias,high,moral,femenino,plural,alta
paradójico,high,moral,neutro,singular,alta
paradójica,high,moral,femenino,singular,alta
paradójicos,high,moral,masculino,plural,alta
paradójicas,high,moral,femenino,plural,alta
absurdo,high,moral,neutro,singular,alta
absurda,high,moral,femenino,singular,alta
absurdos,high,moral,masculino,plural,alta
absurdas,high,moral,femenino,plural,alta
irrisorio,high,moral,neutro,singular,baja
irrisoria,high,moral,femenino,singular,baja
irrisorios,high,moral,masculino,plural,baja
irrisorias,high,moral,femenino,plural,baja
ridículo,high,moral,neutro,singular,baja
ridículos,high,moral,masculino,plural,baja
cómico,high,moral,neutro,singular,alta
cómica,high,moral,femenino,singular,alta
cómicos,high,moral,masculino,plural,alta
cómicas,high,moral,femenino,plural,alta
jocoso,high,moral,neutro,singular,alta
jocosa,high,moral,femenino,singular,alta
jocosos,high,moral,masculino,plural,alta
jocosas,high,moral,femenino,plural,alta
chusco,high,moral,neutro,singular,alta
chusca,high,moral,femenino,singular,alta
chuscos,high,moral,masculino,plural,alta
chuscas,high,moral,femenino,plural,alta
picaresco,high,moral,neutro,singular,alta
picaresca,high,moral,femenino,singular,alta
picarescos,high,moral,masculino,plural,alta
picarescas,high,moral,femenino,plural,alta
chocarrero,high,moral,neutro,singular,alta
chocarrera,high,moral,femenino,singular,alta
chocarreros,high,moral,masculino,plural,alta
chocarreras,high,moral,femenino,plural,alta
bufonesco,high,moral,neutro,singular,alta
bufoneska,high,moral,femenino,singular,alta
bufonescos,high,moral,masculino,plural,alta
bufoneskas,high,moral,femenino,plural,alta
payasada,high,moral,neutro,singular,alta
payasadas,high,moral,masculino,plural,alta
circo,high,moral,neutro,singular,alta
circos,high,moral,masculino,plural,alta
espectáculo,high,moral,neutro,singular,alta
espectáculos,high,moral,masculino,plural,alta
